StudentID,Sex,Date,Subject,Grade,Attendence,pred_grade
135,M,2009-02,inf63,1,2,46.289759679940985
474,F,2015-02,gsi015,7,14,31.787576606400137
994,M,2010-01,gsi014,33,2,48.44569985569986
993,M,2010-01,gsi014,95,0,57.604094058676104
898,M,2009-02,gem03,0,11,48.059682539682534
992,F,2010-01,gsi014,60,10,63.080396825396825
293,M,2010-02,inf63,60,2,46.289759679940985
293,M,2010-01,gsi014,35,2,48.44569985569986
46,M,2011-01,gsi014,39,2,48.44569985569986
46,M,2010-02,inf63,31,2,46.289759679940985
41,F,2011-01,gsi014,25,26,22.785000000000004
41,F,2010-02,inf63,15,10,45.76975354710649
41,F,2010-01,gsi014,2,16,42.56838383838384
990,M,2010-01,gsi014,90,0,57.604094058676104
45,M,2011-01,gsi014,30,4,57.95214743589744
45,M,2010-02,inf63,2,6,46.987997835497836
45,M,2011-02,gsi014,18,26,22.785000000000004
892,M,2009-02,gem03,60,0,61.89409798534799
910,M,2009-02,gem03,60,0,61.89409798534799
991,M,2010-01,gsi014,91,2,48.44569985569986
214,F,2011-01,facom49010,43,1,75.78333333333333
915,M,2009-02,gem03,80,3,61.34290154290155
891,F,2009-02,gem03,55,4,64.71214285714287
913,M,2009-02,gem03,77,2,71.26505772005773
914,F,2009-02,gem03,65,7,61.464999999999996
218,M,2011-01,facom49010,98,0,82.40673425430779
217,M,2011-01,facom49010,71,4,63.457424242424246
216,F,2011-01,facom49010,52,5,56.3
215,M,2011-01,facom49010,94,0,82.40673425430779
223,M,2011-01,facom49010,93,3,75.80555555555556
222,M,2011-01,facom49010,94,3,75.80555555555556
221,M,2011-01,facom49010,96,0,82.40673425430779
219,M,2011-01,facom49010,30,13,15.985714285714286
909,M,2009-02,gem03,88,0,61.89409798534799
988,M,2010-01,gsi014,50,12,46.29261904761905
292,M,2010-02,inf63,37,6,46.987997835497836
292,M,2010-01,gsi014,21,4,57.95214743589744
912,M,2009-02,gem03,87,0,61.89409798534799
905,M,2009-02,gem03,62,2,71.26505772005773
908,M,2009-02,gem03,91,3,61.34290154290155
989,M,2010-01,gsi014,79,14,52.84895104895105
34,M,2011-01,gsi014,31,2,48.44569985569986
34,M,2010-02,inf63,3,0,54.533639119402004
987,M,2010-01,gsi014,72,0,57.604094058676104
632,M,2011-02,gsi005,44,16,23.636889499389504
287,M,2010-02,inf63,64,2,46.289759679940985
287,M,2010-01,gsi014,50,6,44.032448107448104
904,M,2009-02,gem03,74,4,64.71214285714287
446,M,2017-02,ggi005,25,16,21.05
290,M,2010-02,inf63,69,2,46.289759679940985
290,M,2015-02,gsi037,79,8,82.26857142857143
901,M,2009-02,gem03,54,0,61.89409798534799
289,M,2010-02,inf63,0,16,38.49611111111111
902,M,2009-02,gem03,79,0,61.89409798534799
897,M,2009-02,gem03,80,3,61.34290154290155
899,M,2009-02,gem03,83,0,61.89409798534799
894,F,2009-02,gem03,96,0,61.89409798534799
895,M,2009-02,gem03,66,0,61.89409798534799
459,M,2016-02,ggi017,1,38,0.32333333333333336
874,M,2009-01,gem03,0,52,1.325
721,M,2014-02,facom49010,39,2,67.2136507936508
709,M,2014-02,facom49010,60,18,59.5
87,M,2016-02,gsi015,43,0,71.19967706313294
726,M,2014-02,facom49010,43,8,53.55333333333333
461,F,2016-02,ggi017,0,38,0.32333333333333336
466,M,2016-02,ggi017,89,10,81.46666666666667
566,M,2015-01,gfm015,65,6,47.12
636,M,2011-02,gsi005,60,8,42.483148010400335
635,F,2011-02,gsi005,68,6,41.04712933995829
637,M,2011-02,gsi005,12,12,41.44494755244756
637,M,2013-01,gsi015,78,8,52.25605223080223
364,M,2012-02,gsi015,99,8,52.25605223080223
364,M,2011-02,gsi005,71,2,57.25812800476755
400,F,2017-02,ggi017,0,46,4.666666666666666
358,M,2012-02,gsi015,28,8,52.25605223080223
358,M,2011-02,gsi005,33,2,57.25812800476755
361,M,2012-02,gsi015,60,2,62.57671514106808
361,M,2015-02,gsi037,64,14,67.68071428571429
361,M,2011-02,gsi005,60,0,49.49473075488123
360,M,2012-02,gsi015,22,8,52.25605223080223
360,M,2011-02,gsi005,60,8,42.483148010400335
360,M,2015-01,gsi015,60,10,43.55887315883291
360,M,2013-01,gsi015,17,8,52.25605223080223
360,M,2013-02,gsi015,8,16,26.61737151737152
972,M,2010-01,inf63,29,26,24.85
258,M,2010-02,inf63,31,18,32.63722222222223
258,M,2010-01,inf63,4,10,45.76975354710649
974,M,2010-01,inf63,60,4,58.49403950229764
982,M,2010-01,inf63,60,8,38.80537851037851
411,M,2017-02,ggi017,75,0,76.96306818181817
409,M,2017-02,ggi017,16,22,7.8
366,M,2012-02,gsi015,72,6,55.489641517263635
366,M,2015-02,gsi037,64,16,75.27000000000001
366,M,2011-02,gsi005,61,10,44.57619267866636
365,M,2012-02,gsi015,27,16,26.61737151737152
640,M,2011-02,gsi005,25,2,57.25812800476755
371,M,2012-02,gsi015,19,8,52.25605223080223
371,M,2011-02,gsi005,60,0,49.49473075488123
371,M,2014-01,gsi015,12,28,6.69595238095238
371,M,2015-01,gsi015,0,42,0.0
371,M,2013-01,gsi015,25,8,52.25605223080223
266,F,2010-02,inf63,60,8,38.80537851037851
266,F,2015-02,gsi037,81,12,78.60944444444445
369,M,2012-02,gsi015,15,32,7.546428571428573
369,M,2015-02,gsi015,74,8,52.25605223080223
369,M,2011-02,gsi005,70,2,57.25812800476755
426,M,2017-02,ggi005,0,30,0.1
367,M,2012-02,gsi015,60,2,62.57671514106808
367,M,2011-02,gsi005,75,2,57.25812800476755
448,F,2017-02,ggi005,15,6,25.09285714285714
639,M,2011-02,gsi005,14,6,41.04712933995829
639,M,2014-01,gsi015,0,24,10.945833333333335
639,M,2013-01,gsi015,0,26,18.45
272,M,2010-02,inf63,41,26,24.85
505,M,2015-02,gsi015,60,4,62.1510829962276
478,M,2015-02,gsi015,60,14,31.787576606400137
478,M,2015-01,gsi015,45,12,37.34099125848352
275,F,2010-02,inf63,60,2,46.289759679940985
274,M,2010-02,inf63,38,18,32.63722222222223
126,M,2016-02,gsi015,12,12,37.34099125848352
495,M,2015-02,gsi015,77,4,62.1510829962276
487,M,2015-02,gsi015,92,2,62.57671514106808
401,F,2017-02,ggi017,2,40,0.125
401,F,2017-02,ggi005,0,38,0.19
374,F,2012-02,gsi015,77,18,35.51038794538795
374,F,2011-02,gsi005,80,2,57.25812800476755
399,M,2017-02,ggi017,0,44,1.0916666666666666
373,F,2012-02,gsi015,5,28,6.69595238095238
