Unknown1,Sex,Date,Subject,Grade,Unknown2
629,M,2013-01,gsi015,72,14
813,M,2015-01,gsi015,21,16
813,M,2013-01,gsi005,60,0
854,M,2013-01,gsi015,60,12
649,M,2011-02,gsi005,60,6
62,M,2011-01,gsi014,61,0
335,M,2011-02,gsi014,44,6
394,M,2012-02,gsi015,91,0
394,M,2011-02,gsi005,60,0
336,M,2011-02,gsi014,53,16
646,F,2011-02,gsi005,63,4
786,M,2014-01,gsi015,14,16
786,M,2013-01,gsi005,60,0
63,M,2011-01,gsi014,30,2
63,M,2011-02,gsi014,60,4
645,M,2011-02,gsi005,60,12
645,M,2013-01,gsi015,71,14
801,M,2014-01,gsi015,0,14
801,M,2013-01,gsi005,35,22
338,F,2011-02,gsi014,72,14
647,F,2011-02,gsi005,41,0
647,F,2014-01,gsi015,67,4
647,F,2013-01,gsi015,3,36
647,F,2013-02,gsi015,4,12
67,F,2011-01,gsi014,21,6
67,F,2011-02,gsi014,52,8
395,M,2012-02,gsi015,50,4
395,M,2011-02,gsi005,60,4
395,M,2013-01,gsi015,61,8
782,M,2014-01,gsi015,68,12
782,M,2013-01,gsi005,69,6
392,M,2012-02,gsi015,63,4
392,M,2011-02,gsi005,66,4
393,M,2012-02,gsi015,34,8
393,M,2011-02,gsi005,60,4
393,M,2013-02,gsi015,60,2
893,M,2009-02,gem03,43,14
523,M,2015-02,gsi037,50,12
68,M,2011-01,gsi014,46,8
68,M,2011-02,gsi014,65,18
798,M,2014-01,gsi015,96,4
798,M,2013-01,gsi005,93,2
701,F,2014-02,gsi015,8,16
701,F,2015-01,gsi015,74,6
701,F,2013-01,gsi005,60,4
842,M,2013-01,gsi005,44,8
47,M,2011-01,gsi014,74,8
490,M,2015-02,gsi015,93,12
490,M,2013-01,gsi005,60,0
50,M,2011-01,gsi014,72,12
803,M,2014-01,gsi015,88,6
803,M,2013-01,gsi005,76,2
714,F,2014-02,facom49010,20,30
54,M,2011-01,gsi014,63,2
54,M,2015-02,gsi037,87,6
55,M,2011-01,gsi014,60,0
841,M,2013-01,gsi005,23,34
809,M,2015-01,gsi015,75,8
809,M,2013-01,gsi005,61,0
1016,F,2013-02,gsi015,27,12
332,M,2011-02,gsi014,70,14
410,M,2017-02,ggi017,1,38
381,M,2012-02,gsi015,5,20
381,M,2013-01,gsi015,12,14
839,M,2013-01,gsi005,0,58
397,M,2012-02,gsi015,61,10
397,M,2011-02,gsi005,63,4
516,M,2015-02,gsi037,79,1
555,F,2015-01,gfm015,34,14
475,M,2015-02,gsi015,42,2
559,F,2015-01,gfm015,41,12
554,F,2015-01,gfm015,7,31
58,M,2011-01,gsi014,33,4
58,M,2011-02,gsi014,76,4
59,M,2011-01,gsi014,62,4
823,M,2013-01,gsi005,30,18
347,M,2011-02,gsi014,60,16
380,M,2012-02,gsi015,34,6
380,M,2011-02,gsi005,60,0
380,M,2013-01,gsi015,78,6
79,M,2011-01,gsi014,69,7
379,M,2012-02,gsi015,31,10
379,M,2011-02,gsi005,60,0
379,M,2013-02,gsi015,3,4
